Slip Ratio [%],Longitudinal Force [N],Normal Load [N],Tyre Pressure [kPa],Temperature [C]
0.141,433.43,222.0,200,25
0.14,417.12,222.0,200,25
0.139,399.7,222.0,200,25
0.138,378.74,222.0,200,25
0.136,361.17,222.0,200,25
0.134,351.05,222.0,200,25
0.132,363.98,222.0,200,25
0.13,393.76,222.0,200,25
0.13,426.34,222.0,200,25
0.13,444.17,222.0,200,25
0.13,443.39,222.0,200,25
0.13,430.61,222.0,200,25
0.13,414.95,222.0,200,25
0.129,398.75,222.0,200,25
0.127,378.79,222.0,200,25
0.125,359.06,222.0,200,25
0.123,348.82,222.0,200,25
0.121,357.73,222.0,200,25
0.12,388.0,222.0,200,25
0.119,423.42,222.0,200,25
0.119,442.58,222.0,200,25
0.119,444.34,222.0,200,25
0.119,429.44,222.0,200,25
0.118,411.6,222.0,200,25
0.117,395.44,222.0,200,25
0.115,377.67,222.0,200,25
0.114,357.13,222.0,200,25
0.111,344.66,222.0,200,25
0.109,350.4,222.0,200,25
0.108,375.81,222.0,200,25
0.108,410.31,222.0,200,25
0.108,435.55,222.0,200,25
0.108,440.0,222.0,200,25
0.107,427.9,222.0,200,25
0.106,409.88,222.0,200,25
0.105,395.99,222.0,200,25
0.104,380.13,222.0,200,25
0.102,360.06,222.0,200,25
0.101,344.82,222.0,200,25
0.1,342.93,222.0,200,25
0.099,363.72,222.0,200,25
0.099,395.93,222.0,200,25
0.099,424.48,222.0,200,25
0.099,432.89,222.0,200,25
0.098,424.08,222.0,200,25
0.096,405.21,222.0,200,25
0.094,390.71,222.0,200,25
0.092,375.76,222.0,200,25
0.091,357.03,222.0,200,25
0.09,338.88,222.0,200,25
0.089,330.13,222.0,200,25
0.089,342.46,222.0,200,25
0.089,373.13,222.0,200,25
0.089,406.22,222.0,200,25
0.089,424.29,222.0,200,25
0.088,422.87,222.0,200,25
0.087,406.7,222.0,200,25
0.085,389.88,222.0,200,25
0.084,375.95,222.0,200,25
0.083,361.4,222.0,200,25
0.083,343.32,222.0,200,25
0.082,329.14,222.0,200,25
0.08,326.25,222.0,200,25
0.08,343.86,222.0,200,25
0.078,372.77,222.0,200,25
0.076,397.3,222.0,200,25
0.075,404.8,222.0,200,25
0.074,394.55,222.0,200,25
0.072,378.21,222.0,200,25
0.071,361.42,222.0,200,25
0.07,349.38,222.0,200,25
0.071,332.07,222.0,200,25
0.07,315.85,222.0,200,25
0.068,306.34,222.0,200,25
0.067,312.8,222.0,200,25
0.065,336.37,222.0,200,25
0.063,363.43,222.0,200,25
0.062,383.78,222.0,200,25
0.062,386.97,222.0,200,25
0.061,376.41,222.0,200,25
0.062,362.13,222.0,200,25
0.062,352.64,222.0,200,25
0.062,342.67,222.0,200,25
0.062,328.47,222.0,200,25
0.061,310.11,222.0,200,25
0.059,302.07,222.0,200,25
0.057,309.03,222.0,200,25
0.055,331.87,222.0,200,25
0.054,360.43,222.0,200,25
0.053,376.25,222.0,200,25
0.053,376.06,222.0,200,25
0.051,360.17,222.0,200,25
0.051,343.42,222.0,200,25
0.05,329.06,222.0,200,25
0.049,317.26,222.0,200,25
0.047,298.66,222.0,200,25
0.045,278.67,222.0,200,25
0.043,269.84,222.0,200,25
0.042,281.14,222.0,200,25
0.041,307.18,222.0,200,25
0.041,338.96,222.0,200,25
0.042,357.3,222.0,200,25
0.042,355.13,222.0,200,25
0.042,338.61,222.0,200,25
0.041,318.95,222.0,200,25
0.039,302.79,222.0,200,25
0.037,288.56,222.0,200,25
0.036,269.82,222.0,200,25
0.035,253.85,222.0,200,25
0.034,250.15,222.0,200,25
0.033,262.74,222.0,200,25
0.032,290.4,222.0,200,25
0.032,316.2,222.0,200,25
0.031,330.37,222.0,200,25
0.03,325.74,222.0,200,25
0.028,303.17,222.0,200,25
0.026,278.18,222.0,200,25
0.024,255.98,222.0,200,25
0.023,240.33,222.0,200,25
0.022,224.92,222.0,200,25
0.022,211.22,222.0,200,25
0.021,206.52,222.0,200,25
0.021,215.29,222.0,200,25
0.021,238.13,222.0,200,25
0.021,262.21,222.0,200,25
0.02,276.01,222.0,200,25
0.019,271.13,222.0,200,25
0.017,245.63,222.0,200,25
0.016,215.73,222.0,200,25
0.014,193.38,222.0,200,25
0.014,177.84,222.0,200,25
0.014,166.98,222.0,200,25
0.014,157.56,222.0,200,25
0.013,152.17,222.0,200,25
0.013,153.69,222.0,200,25
0.012,158.78,222.0,200,25
0.01,168.42,222.0,200,25
0.01,172.9,222.0,200,25
0.008,164.62,222.0,200,25
0.006,138.12,222.0,200,25
0.005,101.43,222.0,200,25
0.004,73.09,222.0,200,25
0.004,58.75,222.0,200,25
0.004,51.87,222.0,200,25
0.005,43.18,222.0,200,25
0.004,25.76,222.0,200,25
0.002,1.98,222.0,200,25
0.0,-20.52,222.0,200,25
-0.002,-28.84,222.0,200,25
-0.002,-24.6,222.0,200,25
-0.003,-9.22,222.0,200,25
-0.003,-3.28,222.0,200,25
-0.003,-13.59,222.0,200,25
-0.004,-40.7,222.0,200,25
-0.005,-73.24,222.0,200,25
-0.006,-110.77,222.0,200,25
-0.007,-150.13,222.0,200,25
-0.009,-184.78,222.0,200,25
-0.011,-210.71,222.0,200,25
-0.013,-225.44,222.0,200,25
-0.014,-224.32,222.0,200,25
-0.015,-206.53,222.0,200,25
-0.014,-181.33,222.0,200,25
-0.014,-167.53,222.0,200,25
-0.015,-178.18,222.0,200,25
-0.017,-211.13,222.0,200,25
-0.018,-252.53,222.0,200,25
-0.02,-293.32,222.0,200,25
-0.021,-327.85,222.0,200,25
-0.022,-352.94,222.0,200,25
-0.023,-367.58,222.0,200,25
-0.025,-372.08,222.0,200,25
-0.026,-368.02,222.0,200,25
-0.028,-360.06,222.0,200,25
-0.029,-349.39,222.0,200,25
-0.031,-340.61,222.0,200,25
-0.032,-339.65,222.0,200,25
-0.033,-347.1,222.0,200,25
-0.035,-360.76,222.0,200,25
-0.035,-376.27,222.0,200,25
-0.036,-397.72,222.0,200,25
-0.035,-417.37,222.0,200,25
-0.035,-431.35,222.0,200,25
-0.035,-434.25,222.0,200,25
-0.035,-427.51,222.0,200,25
-0.037,-420.26,222.0,200,25
-0.039,-412.13,222.0,200,25
-0.04,-402.56,222.0,200,25
-0.042,-387.31,222.0,200,25
-0.043,-372.39,222.0,200,25
-0.044,-363.56,222.0,200,25
-0.045,-363.64,222.0,200,25
-0.045,-380.7,222.0,200,25
-0.046,-409.56,222.0,200,25
-0.046,-443.09,222.0,200,25
-0.047,-467.17,222.0,200,25
-0.049,-475.9,222.0,200,25
-0.05,-466.47,222.0,200,25
-0.052,-453.29,222.0,200,25
-0.054,-439.92,222.0,200,25
-0.055,-422.5,222.0,200,25
-0.056,-406.19,222.0,200,25
-0.057,-388.18,222.0,200,25
-0.058,-379.15,222.0,200,25
-0.06,-380.44,222.0,200,25
-0.062,-401.11,222.0,200,25
-0.064,-434.65,222.0,200,25
-0.065,-473.64,222.0,200,25
-0.066,-497.71,222.0,200,25
-0.067,-500.37,222.0,200,25
-0.068,-484.88,222.0,200,25
-0.068,-462.64,222.0,200,25
-0.069,-446.0,222.0,200,25
-0.069,-433.42,222.0,200,25
-0.069,-418.05,222.0,200,25
-0.07,-400.68,222.0,200,25
-0.071,-386.84,222.0,200,25
-0.074,-380.71,222.0,200,25
-0.074,-388.95,222.0,200,25
-0.075,-412.97,222.0,200,25
-0.075,-446.91,222.0,200,25
-0.075,-478.37,222.0,200,25
-0.075,-494.78,222.0,200,25
-0.076,-489.1,222.0,200,25
-0.077,-471.83,222.0,200,25
-0.08,-452.2,222.0,200,25
-0.082,-439.04,222.0,200,25
-0.084,-426.11,222.0,200,25
-0.085,-410.93,222.0,200,25
-0.086,-397.11,222.0,200,25
-0.087,-384.15,222.0,200,25
-0.088,-381.0,222.0,200,25
-0.088,-392.9,222.0,200,25
-0.088,-421.45,222.0,200,25
-0.088,-459.32,222.0,200,25
-0.089,-486.43,222.0,200,25
-0.09,-491.31,222.0,200,25
-0.092,-474.61,222.0,200,25
-0.094,-450.35,222.0,200,25
-0.095,-433.31,222.0,200,25
-0.096,-414.91,222.0,200,25
-0.096,-403.18,222.0,200,25
-0.096,-387.78,222.0,200,25
-0.097,-373.83,222.0,200,25
-0.099,-364.85,222.0,200,25
-0.101,-369.35,222.0,200,25
-0.103,-387.34,222.0,200,25
-0.104,-420.28,222.0,200,25
-0.105,-454.16,222.0,200,25
-0.106,-477.9,222.0,200,25
-0.106,-475.78,222.0,200,25
-0.106,-457.81,222.0,200,25
-0.108,-433.11,222.0,200,25
-0.109,-411.89,222.0,200,25
-0.111,-396.6,222.0,200,25
-0.112,-385.11,222.0,200,25
-0.113,-369.4,222.0,200,25
-0.114,-353.96,222.0,200,25
-0.116,-343.48,222.0,200,25
-0.116,-344.8,222.0,200,25
-0.117,-359.88,222.0,200,25
-0.117,-391.12,222.0,200,25
-0.117,-425.06,222.0,200,25
-0.118,-451.76,222.0,200,25
-0.119,-455.08,222.0,200,25
-0.121,-438.48,222.0,200,25
-0.123,-414.44,222.0,200,25
-0.125,-392.66,222.0,200,25
-0.126,-380.32,222.0,200,25
-0.126,-370.62,222.0,200,25
-0.126,-359.74,222.0,200,25
-0.126,-346.67,222.0,200,25
-0.127,-336.89,222.0,200,25
-0.128,-334.73,222.0,200,25
-0.13,-347.32,222.0,200,25
-0.131,-372.17,222.0,200,25
-0.133,-407.81,222.0,200,25
-0.134,-436.13,222.0,200,25
-0.134,-447.02,222.0,200,25
-0.135,-437.47,222.0,200,25
-0.136,-416.94,222.0,200,25
-0.136,-400.35,222.0,200,25
-0.136,-387.39,222.0,200,25
-0.137,-378.76,222.0,200,25
-0.137,-368.57,222.0,200,25
-0.137,-356.54,222.0,200,25
-0.138,-345.78,222.0,200,25
-0.14,-341.81,222.0,200,25
-0.142,-348.35,222.0,200,25
-0.143,-366.02,222.0,200,25
-0.143,-394.85,222.0,200,25
-0.144,-429.3,222.0,200,25
-0.144,-453.72,222.0,200,25
-0.144,-455.35,222.0,200,25
-0.146,-442.33,222.0,200,25
-0.147,-419.73,222.0,200,25
-0.149,-401.42,222.0,200,25
-0.152,-391.04,222.0,200,25
-0.154,-382.16,222.0,200,25
-0.156,-372.99,222.0,200,25
-0.157,-360.96,222.0,200,25
-0.157,-348.96,222.0,200,25
-0.158,-344.42,222.0,200,25
-0.155,-433.84,222.0,200,25
-0.154,-462.72,222.0,200,25
-0.153,-472.91,222.0,200,25
-0.153,-462.61,222.0,200,25
-0.153,-438.6,222.0,200,25
-0.153,-417.1,222.0,200,25
-0.153,-401.43,222.0,200,25
-0.154,-389.14,222.0,200,25
-0.153,-376.04,222.0,200,25
-0.152,-365.1,222.0,200,25
-0.152,-353.46,222.0,200,25
-0.153,-346.24,222.0,200,25
-0.152,-348.95,222.0,200,25
-0.153,-363.32,222.0,200,25
-0.152,-392.35,222.0,200,25
-0.152,-427.69,222.0,200,25
-0.152,-455.09,222.0,200,25
-0.152,-462.02,222.0,200,25
-0.151,-449.55,222.0,200,25
-0.151,-426.43,222.0,200,25
-0.151,-405.69,222.0,200,25
-0.15,-393.41,222.0,200,25
-0.148,-383.94,222.0,200,25
-0.147,-375.1,222.0,200,25
-0.145,-363.06,222.0,200,25
-0.144,-352.03,222.0,200,25
-0.143,-347.07,222.0,200,25
-0.144,-353.45,222.0,200,25
-0.143,-374.59,222.0,200,25
-0.143,-406.7,222.0,200,25
-0.142,-442.22,222.0,200,25
-0.14,-463.54,222.0,200,25
-0.138,-468.06,222.0,200,25
-0.137,-452.42,222.0,200,25
-0.135,-432.51,222.0,200,25
-0.134,-415.82,222.0,200,25
-0.134,-406.03,222.0,200,25
-0.134,-395.6,222.0,200,25
-0.133,-381.97,222.0,200,25
-0.131,-369.0,222.0,200,25
-0.131,-359.87,222.0,200,25
-0.129,-361.48,222.0,200,25
-0.127,-375.24,222.0,200,25
-0.125,-405.94,222.0,200,25
-0.124,-441.82,222.0,200,25
-0.122,-474.65,222.0,200,25
-0.121,-486.42,222.0,200,25
-0.121,-476.07,222.0,200,25
-0.12,-456.14,222.0,200,25
-0.121,-434.98,222.0,200,25
-0.12,-421.08,222.0,200,25
-0.118,-410.21,222.0,200,25
-0.116,-399.0,222.0,200,25
-0.114,-386.86,222.0,200,25
-0.113,-376.84,222.0,200,25
-0.113,-374.31,222.0,200,25
-0.113,-387.41,222.0,200,25
-0.114,-412.61,222.0,200,25
-0.113,-448.97,222.0,200,25
-0.113,-482.67,222.0,200,25
-0.112,-499.1,222.0,200,25
-0.111,-493.07,222.0,200,25
-0.109,-472.79,222.0,200,25
-0.107,-452.58,222.0,200,25
-0.106,-437.55,222.0,200,25
-0.104,-428.33,222.0,200,25
-0.103,-416.62,222.0,200,25
-0.102,-402.88,222.0,200,25
-0.101,-387.77,222.0,200,25
-0.101,-381.93,222.0,200,25
-0.1,-388.52,222.0,200,25
-0.099,-413.49,222.0,200,25
-0.097,-449.52,222.0,200,25
-0.095,-482.04,222.0,200,25
-0.094,-496.75,222.0,200,25
-0.093,-491.55,222.0,200,25
-0.093,-474.35,222.0,200,25
-0.093,-455.87,222.0,200,25
-0.093,-440.48,222.0,200,25
-0.092,-428.0,222.0,200,25
-0.09,-412.08,222.0,200,25
-0.089,-395.03,222.0,200,25
-0.086,-383.2,222.0,200,25
-0.085,-379.18,222.0,200,25
-0.084,-391.39,222.0,200,25
-0.082,-418.45,222.0,200,25
-0.082,-453.14,222.0,200,25
-0.081,-482.18,222.0,200,25
-0.08,-490.84,222.0,200,25
-0.079,-477.08,222.0,200,25
-0.078,-454.83,222.0,200,25
-0.076,-434.42,222.0,200,25
-0.075,-420.23,222.0,200,25
-0.075,-406.87,222.0,200,25
-0.074,-390.21,222.0,200,25
-0.074,-372.99,222.0,200,25
-0.075,-359.62,222.0,200,25
-0.076,-363.02,222.0,200,25
-0.076,-378.79,222.0,200,25
-0.076,-409.32,222.0,200,25
-0.074,-442.03,222.0,200,25
-0.072,-462.43,222.0,200,25
-0.07,-463.58,222.0,200,25
-0.068,-446.55,222.0,200,25
-0.066,-424.88,222.0,200,25
-0.065,-405.22,222.0,200,25
-0.064,-391.54,222.0,200,25
-0.063,-375.01,222.0,200,25
-0.063,-355.1,222.0,200,25
-0.062,-339.37,222.0,200,25
-0.062,-334.82,222.0,200,25
-0.062,-344.01,222.0,200,25
-0.06,-366.34,222.0,200,25
-0.058,-397.36,222.0,200,25
-0.056,-425.08,222.0,200,25
-0.055,-435.51,222.0,200,25
-0.054,-430.94,222.0,200,25
-0.054,-416.3,222.0,200,25
-0.054,-399.36,222.0,200,25
-0.053,-381.57,222.0,200,25
-0.052,-360.54,222.0,200,25
-0.05,-335.42,222.0,200,25
-0.048,-312.54,222.0,200,25
-0.047,-299.88,222.0,200,25
-0.045,-306.0,222.0,200,25
-0.044,-326.62,222.0,200,25
-0.043,-358.15,222.0,200,25
-0.042,-388.56,222.0,200,25
-0.042,-402.28,222.0,200,25
-0.041,-396.33,222.0,200,25
-0.04,-380.99,222.0,200,25
-0.038,-356.64,222.0,200,25
-0.037,-331.36,222.0,200,25
-0.036,-305.51,222.0,200,25
-0.034,-281.03,222.0,200,25
-0.033,-262.88,222.0,200,25
-0.033,-259.59,222.0,200,25
-0.033,-270.04,222.0,200,25
-0.033,-291.81,222.0,200,25
-0.033,-322.04,222.0,200,25
-0.032,-346.47,222.0,200,25
-0.031,-356.66,222.0,200,25
-0.03,-349.09,222.0,200,25
-0.028,-330.1,222.0,200,25
-0.027,-304.67,222.0,200,25
-0.025,-277.43,222.0,200,25
-0.023,-248.1,222.0,200,25
-0.022,-221.96,222.0,200,25
-0.021,-204.19,222.0,200,25
-0.02,-196.93,222.0,200,25
-0.019,-199.92,222.0,200,25
-0.018,-207.9,222.0,200,25
-0.016,-218.02,222.0,200,25
-0.015,-230.69,222.0,200,25
-0.014,-236.89,222.0,200,25
-0.014,-240.37,222.0,200,25
-0.014,-236.47,222.0,200,25
-0.014,-220.27,222.0,200,25
-0.013,-196.88,222.0,200,25
-0.012,-161.07,222.0,200,25
-0.011,-120.23,222.0,200,25
-0.008,-92.12,222.0,200,25
-0.007,-78.82,222.0,200,25
-0.006,-80.12,222.0,200,25
-0.005,-88.62,222.0,200,25
-0.004,-96.82,222.0,200,25
-0.003,-104.25,222.0,200,25
-0.003,-109.13,222.0,200,25
-0.003,-108.65,222.0,200,25
-0.002,-97.44,222.0,200,25
-0.002,-67.35,222.0,200,25
0.0,-17.9,222.0,200,25
0.002,41.13,222.0,200,25
0.004,88.36,222.0,200,25
0.006,107.75,222.0,200,25
0.007,100.7,222.0,200,25
0.006,79.34,222.0,200,25
0.007,56.37,222.0,200,25
0.006,38.1,222.0,200,25
0.006,30.24,222.0,200,25
0.007,32.76,222.0,200,25
0.008,49.53,222.0,200,25
0.009,84.61,222.0,200,25
0.011,136.82,222.0,200,25
0.013,195.4,222.0,200,25
0.015,243.9,222.0,200,25
0.016,268.14,222.0,200,25
0.018,265.48,222.0,200,25
0.018,256.48,222.0,200,25
0.019,250.77,222.0,200,25
0.021,255.13,222.0,200,25
0.022,261.96,222.0,200,25
0.024,270.06,222.0,200,25
0.026,280.54,222.0,200,25
0.027,298.17,222.0,200,25
0.027,323.98,222.0,200,25
0.028,355.17,222.0,200,25
0.028,377.47,222.0,200,25
0.029,380.77,222.0,200,25
0.029,372.72,222.0,200,25
0.029,360.37,222.0,200,25
0.031,352.88,222.0,200,25
0.032,351.59,222.0,200,25
0.034,348.1,222.0,200,25
0.035,337.13,222.0,200,25
0.035,329.4,222.0,200,25
0.035,330.35,222.0,200,25
0.034,343.01,222.0,200,25
0.035,368.53,222.0,200,25
0.035,396.48,222.0,200,25
0.037,410.61,222.0,200,25
0.038,408.84,222.0,200,25
0.04,397.74,222.0,200,25
0.042,387.36,222.0,200,25
0.043,378.96,222.0,200,25
0.045,367.52,222.0,200,25
0.045,349.49,222.0,200,25
0.045,337.58,222.0,200,25
0.045,343.64,222.0,200,25
0.045,365.22,222.0,200,25
0.047,398.16,222.0,200,25
0.049,427.67,222.0,200,25
0.051,440.25,222.0,200,25
0.053,431.09,222.0,200,25
0.054,414.34,222.0,200,25
0.055,399.3,222.0,200,25
0.056,384.55,222.0,200,25
0.056,367.44,222.0,200,25
0.057,352.02,222.0,200,25
0.058,345.66,222.0,200,25
0.059,356.17,222.0,200,25
0.06,385.64,222.0,200,25
0.063,422.68,222.0,200,25
0.065,447.61,222.0,200,25
0.067,451.98,222.0,200,25
0.067,438.14,222.0,200,25
0.068,420.0,222.0,200,25
0.068,404.97,222.0,200,25
0.068,393.91,222.0,200,25
0.069,381.0,222.0,200,25
0.069,364.47,222.0,200,25
0.071,361.02,222.0,200,25
0.071,375.58,222.0,200,25
0.074,407.49,222.0,200,25
0.075,443.52,222.0,200,25
0.078,466.85,222.0,200,25
0.079,469.04,222.0,200,25
0.079,452.0,222.0,200,25
0.079,430.6,222.0,200,25
0.079,417.62,222.0,200,25
0.08,403.55,222.0,200,25
0.081,391.79,222.0,200,25
0.082,379.74,222.0,200,25
0.084,378.54,222.0,200,25
0.085,395.29,222.0,200,25
0.086,427.85,222.0,200,25
0.087,457.21,222.0,200,25
0.087,468.75,222.0,200,25
0.086,463.44,222.0,200,25
0.086,449.12,222.0,200,25
0.087,435.53,222.0,200,25
0.088,426.28,222.0,200,25
0.09,415.0,222.0,200,25
0.092,398.51,222.0,200,25
0.094,387.65,222.0,200,25
0.096,395.27,222.0,200,25
0.096,420.61,222.0,200,25
0.097,450.9,222.0,200,25
0.097,470.48,222.0,200,25
0.097,473.98,222.0,200,25
0.098,462.76,222.0,200,25
0.099,448.84,222.0,200,25
0.1,433.51,222.0,200,25
0.102,419.17,222.0,200,25
0.104,402.23,222.0,200,25
0.105,386.64,222.0,200,25
0.105,382.54,222.0,200,25
0.106,400.51,222.0,200,25
0.105,430.98,222.0,200,25
0.106,461.02,222.0,200,25
0.108,476.24,222.0,200,25
0.109,472.19,222.0,200,25
0.111,458.87,222.0,200,25
0.113,446.17,222.0,200,25
0.116,430.28,222.0,200,25
0.117,413.11,222.0,200,25
0.118,392.61,222.0,200,25
0.119,383.67,222.0,200,25
0.119,393.38,222.0,200,25
0.119,422.95,222.0,200,25
0.12,455.08,222.0,200,25
0.121,476.95,222.0,200,25
0.124,476.36,222.0,200,25
0.124,465.03,222.0,200,25
0.125,445.61,222.0,200,25
0.126,427.94,222.0,200,25
0.125,407.15,222.0,200,25
0.125,383.75,222.0,200,25
0.124,374.03,222.0,200,25
0.124,385.17,222.0,200,25
0.124,409.33,222.0,200,25
0.126,444.27,222.0,200,25
0.128,467.04,222.0,200,25
0.131,471.89,222.0,200,25
0.132,461.21,222.0,200,25
0.134,445.42,222.0,200,25
0.135,429.03,222.0,200,25
0.136,409.27,222.0,200,25
0.136,387.58,222.0,200,25
0.137,373.76,222.0,200,25
0.137,380.26,222.0,200,25
0.138,406.36,222.0,200,25
0.14,439.48,222.0,200,25
0.141,463.04,222.0,200,25
0.142,468.15,222.0,200,25
0.143,458.02,222.0,200,25
0.144,440.55,222.0,200,25
0.138,1611.31,667.0,200,25
0.138,1595.35,667.0,200,25
0.137,1574.63,667.0,200,25
0.137,1549.59,667.0,200,25
0.137,1520.87,667.0,200,25
0.136,1503.19,667.0,200,25
0.135,1504.76,667.0,200,25
0.135,1530.6,667.0,200,25
0.135,1567.17,667.0,200,25
0.136,1597.48,667.0,200,25
0.136,1614.88,667.0,200,25
0.137,1615.24,667.0,200,25
0.137,1602.07,667.0,200,25
0.138,1587.97,667.0,200,25
0.137,1570.5,667.0,200,25
0.137,1552.72,667.0,200,25
0.136,1544.04,667.0,200,25
0.135,1556.67,667.0,200,25
0.135,1585.54,667.0,200,25
0.135,1621.82,667.0,200,25
0.136,1649.14,667.0,200,25
0.137,1657.38,667.0,200,25
0.136,1646.46,667.0,200,25
0.135,1622.9,667.0,200,25
0.134,1598.37,667.0,200,25
0.132,1571.01,667.0,200,25
0.13,1542.52,667.0,200,25
0.129,1525.86,667.0,200,25
0.128,1529.35,667.0,200,25
0.128,1553.09,667.0,200,25
0.128,1589.09,667.0,200,25
0.127,1617.87,667.0,200,25
0.127,1629.66,667.0,200,25
0.126,1625.39,667.0,200,25
0.124,1610.62,667.0,200,25
0.121,1592.58,667.0,200,25
0.119,1571.49,667.0,200,25
0.118,1546.62,667.0,200,25
0.117,1533.3,667.0,200,25
0.116,1537.7,667.0,200,25
0.116,1561.11,667.0,200,25
0.116,1600.28,667.0,200,25
0.116,1630.67,667.0,200,25
0.115,1642.83,667.0,200,25
0.114,1633.11,667.0,200,25
0.111,1616.03,667.0,200,25
0.108,1595.87,667.0,200,25
0.107,1576.95,667.0,200,25
0.106,1553.4,667.0,200,25
0.106,1533.54,667.0,200,25
0.106,1531.33,667.0,200,25
0.106,1550.11,667.0,200,25
0.106,1581.07,667.0,200,25
0.106,1614.76,667.0,200,25
0.104,1628.22,667.0,200,25
0.103,1625.78,667.0,200,25
