Slip Ratio [%],Longitudinal Force [N],Normal Load [N],Tyre Pressure [kPa],Temperature [C]
0.102,1612.24,667.0,200,25
0.1,1596.08,667.0,200,25
0.1,1578.68,667.0,200,25
0.099,1556.51,667.0,200,25
0.099,1533.13,667.0,200,25
0.099,1522.61,667.0,200,25
0.097,1530.94,667.0,200,25
0.096,1559.43,667.0,200,25
0.094,1590.79,667.0,200,25
0.091,1609.52,667.0,200,25
0.089,1609.06,667.0,200,25
0.088,1588.49,667.0,200,25
0.086,1566.86,667.0,200,25
0.086,1547.17,667.0,200,25
0.087,1531.63,667.0,200,25
0.088,1511.28,667.0,200,25
0.088,1495.28,667.0,200,25
0.087,1493.07,667.0,200,25
0.086,1510.38,667.0,200,25
0.084,1540.58,667.0,200,25
0.082,1565.15,667.0,200,25
0.08,1573.33,667.0,200,25
0.078,1560.84,667.0,200,25
0.077,1538.77,667.0,200,25
0.077,1513.59,667.0,200,25
0.076,1488.29,667.0,200,25
0.076,1457.52,667.0,200,25
0.075,1426.72,667.0,200,25
0.073,1403.98,667.0,200,25
0.071,1402.86,667.0,200,25
0.069,1422.0,667.0,200,25
0.068,1450.27,667.0,200,25
0.068,1474.34,667.0,200,25
0.067,1479.48,667.0,200,25
0.068,1469.74,667.0,200,25
0.067,1449.55,667.0,200,25
0.068,1430.59,667.0,200,25
0.066,1407.48,667.0,200,25
0.066,1378.14,667.0,200,25
0.064,1352.01,667.0,200,25
0.062,1333.4,667.0,200,25
0.06,1340.28,667.0,200,25
0.059,1369.07,667.0,200,25
0.058,1406.28,667.0,200,25
0.058,1431.01,667.0,200,25
0.058,1429.84,667.0,200,25
0.056,1400.23,667.0,200,25
0.055,1356.5,667.0,200,25
0.053,1311.46,667.0,200,25
0.052,1266.42,667.0,200,25
0.05,1226.77,667.0,200,25
0.049,1195.5,667.0,200,25
0.047,1180.61,667.0,200,25
0.046,1186.08,667.0,200,25
0.046,1211.2,667.0,200,25
0.046,1243.52,667.0,200,25
0.046,1258.73,667.0,200,25
0.045,1244.34,667.0,200,25
0.044,1199.24,667.0,200,25
0.042,1138.46,667.0,200,25
0.04,1081.79,667.0,200,25
0.039,1039.28,667.0,200,25
0.037,1012.83,667.0,200,25
0.037,1007.3,667.0,200,25
0.038,1026.79,667.0,200,25
0.039,1060.59,667.0,200,25
0.039,1106.49,667.0,200,25
0.039,1138.4,667.0,200,25
0.038,1139.21,667.0,200,25
0.037,1105.66,667.0,200,25
0.035,1041.78,667.0,200,25
0.032,970.26,667.0,200,25
0.031,908.98,667.0,200,25
0.029,867.87,667.0,200,25
0.029,840.67,667.0,200,25
0.028,827.91,667.0,200,25
0.027,820.75,667.0,200,25
0.026,823.6,667.0,200,25
0.025,828.98,667.0,200,25
0.024,831.8,667.0,200,25
0.023,818.96,667.0,200,25
0.022,783.34,667.0,200,25
0.021,733.09,667.0,200,25
0.019,675.91,667.0,200,25
0.017,625.15,667.0,200,25
0.017,583.73,667.0,200,25
0.015,542.72,667.0,200,25
0.014,498.28,667.0,200,25
0.012,451.32,667.0,200,25
0.011,409.51,667.0,200,25
0.009,386.98,667.0,200,25
0.009,394.17,667.0,200,25
0.009,418.98,667.0,200,25
0.009,441.33,667.0,200,25
0.009,442.53,667.0,200,25
0.01,420.66,667.0,200,25
0.009,385.91,667.0,200,25
0.008,338.44,667.0,200,25
0.007,276.12,667.0,200,25
0.005,200.04,667.0,200,25
0.003,119.4,667.0,200,25
0.001,44.11,667.0,200,25
0.0,-2.79,667.0,200,25
-0.001,-15.47,667.0,200,25
0.0,-1.44,667.0,200,25
0.0,8.17,667.0,200,25
-0.001,-11.84,667.0,200,25
-0.002,-69.52,667.0,200,25
-0.003,-141.23,667.0,200,25
-0.004,-213.49,667.0,200,25
-0.005,-272.95,667.0,200,25
-0.005,-318.92,667.0,200,25
-0.006,-351.01,667.0,200,25
-0.006,-367.66,667.0,200,25
-0.006,-370.26,667.0,200,25
-0.007,-354.05,667.0,200,25
-0.006,-330.91,667.0,200,25
-0.007,-320.74,667.0,200,25
-0.007,-348.26,667.0,200,25
-0.009,-407.87,667.0,200,25
-0.01,-479.16,667.0,200,25
-0.011,-536.94,667.0,200,25
-0.011,-582.85,667.0,200,25
-0.012,-621.28,667.0,200,25
-0.013,-662.09,667.0,200,25
-0.014,-709.01,667.0,200,25
-0.016,-757.04,667.0,200,25
-0.018,-803.69,667.0,200,25
-0.02,-839.8,667.0,200,25
-0.021,-864.76,667.0,200,25
-0.022,-885.37,667.0,200,25
-0.023,-908.63,667.0,200,25
-0.023,-933.37,667.0,200,25
-0.024,-958.42,667.0,200,25
-0.025,-983.32,667.0,200,25
-0.026,-1011.06,667.0,200,25
-0.027,-1054.46,667.0,200,25
-0.029,-1101.41,667.0,200,25
-0.032,-1150.25,667.0,200,25
-0.034,-1194.04,667.0,200,25
-0.037,-1229.71,667.0,200,25
-0.039,-1251.01,667.0,200,25
-0.04,-1261.38,667.0,200,25
-0.042,-1267.84,667.0,200,25
-0.043,-1278.35,667.0,200,25
-0.044,-1298.74,667.0,200,25
-0.044,-1322.7,667.0,200,25
-0.045,-1348.0,667.0,200,25
-0.046,-1376.72,667.0,200,25
-0.047,-1405.08,667.0,200,25
-0.047,-1426.57,667.0,200,25
-0.048,-1430.18,667.0,200,25
-0.05,-1417.54,667.0,200,25
-0.05,-1395.91,667.0,200,25
-0.049,-1372.58,667.0,200,25
-0.05,-1354.34,667.0,200,25
-0.051,-1353.75,667.0,200,25
-0.053,-1371.57,667.0,200,25
-0.055,-1401.83,667.0,200,25
-0.056,-1437.86,667.0,200,25
-0.057,-1465.17,667.0,200,25
-0.057,-1487.92,667.0,200,25
-0.057,-1502.86,667.0,200,25
-0.058,-1512.17,667.0,200,25
-0.059,-1510.39,667.0,200,25
-0.061,-1507.65,667.0,200,25
-0.063,-1507.99,667.0,200,25
-0.064,-1510.84,667.0,200,25
-0.066,-1506.8,667.0,200,25
-0.067,-1497.96,667.0,200,25
-0.068,-1489.25,667.0,200,25
-0.069,-1487.97,667.0,200,25
-0.07,-1499.14,667.0,200,25
-0.07,-1522.36,667.0,200,25
-0.071,-1551.38,667.0,200,25
-0.071,-1576.82,667.0,200,25
-0.073,-1587.49,667.0,200,25
-0.074,-1583.83,667.0,200,25
-0.076,-1571.55,667.0,200,25
-0.078,-1562.48,667.0,200,25
-0.079,-1551.02,667.0,200,25
-0.08,-1536.49,667.0,200,25
-0.081,-1520.88,667.0,200,25
-0.082,-1507.43,667.0,200,25
-0.083,-1499.19,667.0,200,25
-0.084,-1506.62,667.0,200,25
-0.085,-1528.67,667.0,200,25
-0.086,-1559.15,667.0,200,25
-0.087,-1590.38,667.0,200,25
-0.088,-1610.08,667.0,200,25
-0.089,-1611.0,667.0,200,25
-0.09,-1601.75,667.0,200,25
-0.091,-1586.04,667.0,200,25
-0.092,-1575.36,667.0,200,25
-0.093,-1562.78,667.0,200,25
-0.094,-1545.0,667.0,200,25
-0.094,-1527.61,667.0,200,25
-0.095,-1513.41,667.0,200,25
-0.097,-1513.84,667.0,200,25
-0.098,-1526.06,667.0,200,25
-0.1,-1550.62,667.0,200,25
-0.1,-1584.74,667.0,200,25
-0.101,-1615.93,667.0,200,25
-0.101,-1632.81,667.0,200,25
-0.101,-1630.96,667.0,200,25
-0.101,-1620.3,667.0,200,25
-0.103,-1608.05,667.0,200,25
-0.104,-1597.4,667.0,200,25
-0.105,-1584.62,667.0,200,25
-0.107,-1568.2,667.0,200,25
-0.108,-1549.8,667.0,200,25
-0.108,-1533.35,667.0,200,25
-0.11,-1527.3,667.0,200,25
-0.111,-1534.93,667.0,200,25
-0.11,-1558.26,667.0,200,25
-0.11,-1591.42,667.0,200,25
-0.111,-1618.53,667.0,200,25
-0.112,-1634.98,667.0,200,25
-0.114,-1629.67,667.0,200,25
-0.116,-1614.16,667.0,200,25
-0.118,-1597.2,667.0,200,25
-0.119,-1585.47,667.0,200,25
-0.12,-1569.46,667.0,200,25
-0.121,-1550.97,667.0,200,25
-0.12,-1532.28,667.0,200,25
-0.12,-1517.47,667.0,200,25
-0.121,-1513.8,667.0,200,25
-0.122,-1527.14,667.0,200,25
-0.124,-1553.42,667.0,200,25
-0.125,-1585.46,667.0,200,25
-0.126,-1614.41,667.0,200,25
-0.127,-1627.26,667.0,200,25
-0.128,-1625.73,667.0,200,25
-0.129,-1611.96,667.0,200,25
-0.131,-1597.47,667.0,200,25
-0.131,-1585.93,667.0,200,25
-0.132,-1571.67,667.0,200,25
-0.133,-1554.0,667.0,200,25
-0.134,-1536.01,667.0,200,25
-0.136,-1523.15,667.0,200,25
-0.137,-1521.94,667.0,200,25
-0.138,-1536.53,667.0,200,25
-0.139,-1563.0,667.0,200,25
-0.14,-1597.74,667.0,200,25
-0.14,-1630.71,667.0,200,25
-0.139,-1648.86,667.0,200,25
-0.14,-1652.78,667.0,200,25
-0.141,-1647.22,667.0,200,25
-0.143,-1634.28,667.0,200,25
-0.145,-1627.39,667.0,200,25
-0.148,-1618.64,667.0,200,25
-0.149,-1609.49,667.0,200,25
-0.15,-1594.79,667.0,200,25
-0.151,-1579.78,667.0,200,25
-0.151,-1566.89,667.0,200,25
-0.152,-1565.06,667.0,200,25
-0.153,-1578.44,667.0,200,25
-0.154,-1606.11,667.0,200,25
-0.155,-1637.48,667.0,200,25
-0.156,-1661.99,667.0,200,25
-0.158,-1670.66,667.0,200,25
-0.16,-1663.08,667.0,200,25
-0.162,-1646.85,667.0,200,25
-0.163,-1629.83,667.0,200,25
-0.163,-1615.95,667.0,200,25
-0.163,-1586.15,667.0,200,25
-0.162,-1570.02,667.0,200,25
-0.161,-1553.18,667.0,200,25
-0.16,-1547.43,667.0,200,25
-0.16,-1552.32,667.0,200,25
-0.16,-1570.61,667.0,200,25
-0.16,-1597.98,667.0,200,25
-0.16,-1624.23,667.0,200,25
-0.16,-1643.35,667.0,200,25
-0.159,-1648.24,667.0,200,25
-0.159,-1639.27,667.0,200,25
-0.159,-1625.1,667.0,200,25
-0.159,-1611.5,667.0,200,25
-0.16,-1596.99,667.0,200,25
-0.161,-1580.25,667.0,200,25
-0.162,-1561.51,667.0,200,25
-0.162,-1541.51,667.0,200,25
-0.162,-1530.74,667.0,200,25
-0.162,-1525.83,667.0,200,25
-0.162,-1531.63,667.0,200,25
-0.161,-1549.93,667.0,200,25
-0.161,-1579.13,667.0,200,25
-0.16,-1610.52,667.0,200,25
-0.159,-1633.96,667.0,200,25
-0.159,-1639.5,667.0,200,25
-0.159,-1630.17,667.0,200,25
-0.16,-1609.21,667.0,200,25
-0.161,-1587.01,667.0,200,25
-0.162,-1565.1,667.0,200,25
-0.162,-1545.65,667.0,200,25
-0.161,-1525.87,667.0,200,25
-0.162,-1506.79,667.0,200,25
-0.161,-1494.16,667.0,200,25
-0.162,-1486.94,667.0,200,25
-0.161,-1494.25,667.0,200,25
-0.162,-1515.23,667.0,200,25
-0.162,-1547.36,667.0,200,25
-0.161,-1582.67,667.0,200,25
-0.161,-1601.57,667.0,200,25
-0.16,-1603.01,667.0,200,25
-0.16,-1589.12,667.0,200,25
-0.16,-1567.62,667.0,200,25
-0.161,-1553.01,667.0,200,25
-0.161,-1535.51,667.0,200,25
-0.161,-1521.65,667.0,200,25
-0.161,-1507.0,667.0,200,25
-0.161,-1488.58,667.0,200,25
-0.16,-1477.35,667.0,200,25
-0.16,-1472.02,667.0,200,25
-0.161,-1482.48,667.0,200,25
-0.16,-1507.39,667.0,200,25
-0.158,-1541.09,667.0,200,25
-0.156,-1575.44,667.0,200,25
-0.155,-1595.68,667.0,200,25
-0.153,-1598.78,667.0,200,25
-0.152,-1587.06,667.0,200,25
-0.151,-1571.5,667.0,200,25
-0.151,-1558.89,667.0,200,25
-0.151,-1548.11,667.0,200,25
-0.151,-1535.05,667.0,200,25
-0.149,-1517.52,667.0,200,25
-0.147,-1502.31,667.0,200,25
-0.146,-1498.89,667.0,200,25
-0.145,-1506.51,667.0,200,25
-0.144,-1527.04,667.0,200,25
-0.143,-1564.36,667.0,200,25
-0.142,-1604.52,667.0,200,25
-0.141,-1639.6,667.0,200,25
-0.141,-1653.55,667.0,200,25
-0.14,-1649.43,667.0,200,25
-0.14,-1638.24,667.0,200,25
-0.14,-1619.38,667.0,200,25
-0.139,-1604.24,667.0,200,25
-0.137,-1593.64,667.0,200,25
-0.135,-1577.64,667.0,200,25
-0.133,-1562.39,667.0,200,25
-0.132,-1552.52,667.0,200,25
-0.132,-1547.55,667.0,200,25
-0.131,-1558.06,667.0,200,25
-0.131,-1580.72,667.0,200,25
-0.129,-1615.53,667.0,200,25
-0.127,-1646.97,667.0,200,25
-0.125,-1663.91,667.0,200,25
-0.124,-1663.92,667.0,200,25
-0.122,-1651.0,667.0,200,25
-0.122,-1635.87,667.0,200,25
-0.122,-1623.96,667.0,200,25
-0.122,-1613.9,667.0,200,25
-0.121,-1597.47,667.0,200,25
-0.12,-1577.8,667.0,200,25
-0.119,-1557.62,667.0,200,25
-0.118,-1544.93,667.0,200,25
-0.116,-1546.59,667.0,200,25
-0.114,-1564.76,667.0,200,25
-0.112,-1591.7,667.0,200,25
-0.111,-1621.63,667.0,200,25
-0.109,-1641.87,667.0,200,25
-0.109,-1644.71,667.0,200,25
-0.108,-1634.23,667.0,200,25
-0.108,-1619.15,667.0,200,25
-0.107,-1603.81,667.0,200,25
-0.105,-1589.5,667.0,200,25
-0.104,-1569.15,667.0,200,25
-0.101,-1545.55,667.0,200,25
-0.1,-1527.14,667.0,200,25
-0.1,-1521.88,667.0,200,25
-0.1,-1532.38,667.0,200,25
-0.101,-1553.78,667.0,200,25
-0.101,-1582.99,667.0,200,25
-0.101,-1606.71,667.0,200,25
-0.1,-1617.3,667.0,200,25
-0.099,-1612.52,667.0,200,25
-0.098,-1594.94,667.0,200,25
-0.097,-1573.01,667.0,200,25
-0.095,-1554.31,667.0,200,25
-0.093,-1535.48,667.0,200,25
-0.092,-1514.75,667.0,200,25
-0.09,-1495.02,667.0,200,25
-0.089,-1478.96,667.0,200,25
-0.088,-1472.73,667.0,200,25
-0.087,-1480.07,667.0,200,25
-0.086,-1493.62,667.0,200,25
-0.084,-1510.72,667.0,200,25
-0.082,-1528.7,667.0,200,25
-0.081,-1536.56,667.0,200,25
-0.081,-1532.49,667.0,200,25
-0.081,-1519.43,667.0,200,25
-0.081,-1508.95,667.0,200,25
-0.081,-1495.67,667.0,200,25
-0.081,-1477.04,667.0,200,25
-0.079,-1453.18,667.0,200,25
-0.078,-1429.66,667.0,200,25
-0.076,-1413.69,667.0,200,25
-0.075,-1409.82,667.0,200,25
-0.073,-1418.93,667.0,200,25
-0.071,-1434.36,667.0,200,25
-0.069,-1451.51,667.0,200,25
-0.069,-1464.53,667.0,200,25
-0.068,-1469.28,667.0,200,25
-0.068,-1464.21,667.0,200,25
-0.068,-1449.35,667.0,200,25
-0.068,-1432.0,667.0,200,25
-0.066,-1408.34,667.0,200,25
-0.065,-1377.59,667.0,200,25
-0.063,-1350.72,667.0,200,25
-0.061,-1332.85,667.0,200,25
-0.061,-1333.88,667.0,200,25
-0.06,-1350.91,667.0,200,25
-0.059,-1369.09,667.0,200,25
-0.059,-1388.16,667.0,200,25
-0.057,-1397.93,667.0,200,25
-0.056,-1395.36,667.0,200,25
-0.054,-1381.93,667.0,200,25
-0.053,-1359.88,667.0,200,25
-0.052,-1329.85,667.0,200,25
-0.051,-1303.82,667.0,200,25
-0.05,-1279.13,667.0,200,25
-0.05,-1264.1,667.0,200,25
-0.049,-1258.64,667.0,200,25
-0.049,-1259.85,667.0,200,25
-0.048,-1259.66,667.0,200,25
-0.047,-1250.7,667.0,200,25
-0.046,-1240.06,667.0,200,25
-0.044,-1232.04,667.0,200,25
-0.043,-1223.34,667.0,200,25
-0.042,-1212.1,667.0,200,25
-0.041,-1193.26,667.0,200,25
-0.041,-1166.47,667.0,200,25
-0.04,-1134.87,667.0,200,25
-0.039,-1101.37,667.0,200,25
-0.038,-1068.9,667.0,200,25
-0.037,-1043.49,667.0,200,25
-0.036,-1025.14,667.0,200,25
-0.035,-1012.57,667.0,200,25
-0.034,-1005.02,667.0,200,25
-0.032,-998.06,667.0,200,25
-0.031,-1000.07,667.0,200,25
-0.031,-1004.37,667.0,200,25
-0.031,-1003.88,667.0,200,25
-0.031,-992.18,667.0,200,25
-0.03,-964.91,667.0,200,25
-0.029,-917.58,667.0,200,25
-0.027,-858.82,667.0,200,25
-0.026,-805.86,667.0,200,25
-0.025,-780.35,667.0,200,25
-0.024,-781.79,667.0,200,25
-0.024,-797.99,667.0,200,25
-0.023,-806.78,667.0,200,25
-0.022,-805.62,667.0,200,25
-0.021,-798.54,667.0,200,25
-0.02,-784.07,667.0,200,25
-0.019,-758.02,667.0,200,25
-0.018,-712.6,667.0,200,25
-0.017,-650.86,667.0,200,25
-0.016,-577.65,667.0,200,25
-0.013,-506.81,667.0,200,25
-0.012,-452.95,667.0,200,25
-0.011,-425.8,667.0,200,25
-0.011,-415.8,667.0,200,25
-0.01,-401.19,667.0,200,25
-0.007,-368.78,667.0,200,25
-0.006,-315.69,667.0,200,25
-0.004,-249.28,667.0,200,25
-0.002,-182.43,667.0,200,25
-0.001,-119.87,667.0,200,25
0.0,-62.2,667.0,200,25
0.0,-12.58,667.0,200,25
0.0,32.82,667.0,200,25
0.0,59.74,667.0,200,25
-0.001,54.52,667.0,200,25
-0.001,22.82,667.0,200,25
-0.001,-10.37,667.0,200,25
0.0,-11.42,667.0,200,25
0.001,29.09,667.0,200,25
0.003,102.7,667.0,200,25
0.005,190.85,667.0,200,25
0.006,276.31,667.0,200,25
0.007,348.84,667.0,200,25
0.007,410.14,667.0,200,25
0.008,471.41,667.0,200,25
0.01,540.66,667.0,200,25
0.011,608.67,667.0,200,25
0.013,668.56,667.0,200,25
0.014,714.25,667.0,200,25
0.015,751.15,667.0,200,25
0.016,774.8,667.0,200,25
0.016,780.2,667.0,200,25
0.016,774.82,667.0,200,25
0.016,765.83,667.0,200,25
0.016,769.46,667.0,200,25
0.017,799.23,667.0,200,25
0.018,858.65,667.0,200,25
0.02,933.35,667.0,200,25
0.022,1000.14,667.0,200,25
0.023,1036.09,667.0,200,25
0.024,1041.71,667.0,200,25
0.025,1032.07,667.0,200,25
0.025,1010.93,667.0,200,25
0.025,992.28,667.0,200,25
0.025,975.06,667.0,200,25
0.025,970.5,667.0,200,25
0.025,988.37,667.0,200,25
0.027,1037.54,667.0,200,25
0.029,1115.67,667.0,200,25
0.032,1199.53,667.0,200,25
0.035,1267.05,667.0,200,25
0.037,1301.58,667.0,200,25
0.038,1309.06,667.0,200,25
0.039,1299.34,667.0,200,25
0.04,1287.51,667.0,200,25
0.041,1282.29,667.0,200,25
0.042,1285.63,667.0,200,25
0.043,1301.87,667.0,200,25
0.044,1333.84,667.0,200,25
0.045,1381.23,667.0,200,25
0.047,1435.86,667.0,200,25
0.05,1485.44,667.0,200,25
0.05,1508.77,667.0,200,25
0.052,1504.65,667.0,200,25
0.052,1485.67,667.0,200,25
0.053,1473.05,667.0,200,25
0.055,1473.32,667.0,200,25
0.057,1479.63,667.0,200,25
0.057,1484.81,667.0,200,25
0.058,1482.59,667.0,200,25
0.058,1484.61,667.0,200,25
0.058,1496.48,667.0,200,25
0.058,1518.19,667.0,200,25
0.059,1541.83,667.0,200,25
0.059,1556.12,667.0,200,25
0.061,1557.02,667.0,200,25
0.062,1555.45,667.0,200,25
0.065,1554.65,667.0,200,25
0.066,1553.49,667.0,200,25
0.068,1550.02,667.0,200,25
0.069,1545.53,667.0,200,25
0.07,1549.39,667.0,200,25
0.07,1569.05,667.0,200,25
0.07,1601.92,667.0,200,25
0.07,1638.82,667.0,200,25
0.071,1665.23,667.0,200,25
0.072,1673.88,667.0,200,25
0.074,1667.35,667.0,200,25
0.075,1653.48,667.0,200,25
0.076,1641.82,667.0,200,25
0.077,1625.19,667.0,200,25
0.078,1601.41,667.0,200,25
0.079,1584.55,667.0,200,25
0.078,1582.98,667.0,200,25
0.078,1602.63,667.0,200,25
0.077,1637.23,667.0,200,25
0.077,1667.55,667.0,200,25
0.078,1683.31,667.0,200,25
0.079,1685.47,667.0,200,25
0.08,1677.42,667.0,200,25
0.083,1666.34,667.0,200,25
0.085,1651.56,667.0,200,25
0.086,1625.2,667.0,200,25
0.087,1602.16,667.0,200,25
0.087,1595.73,667.0,200,25
0.087,1614.54,667.0,200,25
0.087,1650.34,667.0,200,25
0.088,1686.75,667.0,200,25
0.09,1710.89,667.0,200,25
0.093,1713.38,667.0,200,25
0.095,1702.89,667.0,200,25
0.096,1685.07,667.0,200,25
0.098,1661.83,667.0,200,25
0.099,1630.62,667.0,200,25
0.1,1598.29,667.0,200,25
0.101,1586.08,667.0,200,25
0.102,1596.07,667.0,200,25
0.103,1627.56,667.0,200,25
0.104,1662.0,667.0,200,25
0.106,1681.42,667.0,200,25
0.107,1680.99,667.0,200,25
0.108,1669.58,667.0,200,25
0.108,1652.88,667.0,200,25
0.108,1632.3,667.0,200,25
0.109,1605.5,667.0,200,25
0.108,1576.76,667.0,200,25
0.109,1557.69,667.0,200,25
0.11,1563.72,667.0,200,25
0.111,1591.05,667.0,200,25
0.113,1622.78,667.0,200,25
0.114,1645.31,667.0,200,25
0.116,1650.01,667.0,200,25
0.117,1637.11,667.0,200,25
0.117,1621.59,667.0,200,25
0.117,1601.1,667.0,200,25
0.118,1575.04,667.0,200,25
0.119,1544.63,667.0,200,25
0.121,1525.04,667.0,200,25
0.123,1526.01,667.0,200,25
0.124,1548.21,667.0,200,25
0.126,1581.96,667.0,200,25
0.127,1607.32,667.0,200,25
0.127,1617.28,667.0,200,25
0.128,1611.03,667.0,200,25
0.128,1595.39,667.0,200,25
0.128,1572.37,667.0,200,25
0.13,1542.76,667.0,200,25
0.132,1511.79,667.0,200,25
0.134,1494.84,667.0,200,25
0.135,1500.28,667.0,200,25
0.137,1528.97,667.0,200,25
0.139,1562.92,667.0,200,25
0.14,1585.98,667.0,200,25
0.141,1593.76,667.0,200,25
0.145,2123.65,890.0,200,25
0.145,2096.5,890.0,200,25
0.145,2065.85,890.0,200,25
0.144,2038.11,890.0,200,25
0.143,2025.93,890.0,200,25
0.142,2038.59,890.0,200,25
0.142,2069.83,890.0,200,25
0.141,2109.04,890.0,200,25
0.142,2138.14,890.0,200,25
0.142,2149.69,890.0,200,25
0.142,2145.86,890.0,200,25
0.142,2132.26,890.0,200,25
0.141,2110.66,890.0,200,25
0.141,2086.75,890.0,200,25
0.141,2067.36,890.0,200,25
0.142,2063.2,890.0,200,25
0.142,2083.12,890.0,200,25
0.143,2119.58,890.0,200,25
0.144,2153.65,890.0,200,25
0.145,2175.91,890.0,200,25
0.144,2175.55,890.0,200,25
0.143,2161.69,890.0,200,25
0.141,2136.88,890.0,200,25
0.14,2108.96,890.0,200,25
0.138,2077.8,890.0,200,25
0.137,2055.6,890.0,200,25
0.136,2052.77,890.0,200,25
0.135,2071.92,890.0,200,25
0.134,2106.69,890.0,200,25
0.134,2143.92,890.0,200,25
0.133,2166.63,890.0,200,25
0.131,2170.37,890.0,200,25
0.129,2160.88,890.0,200,25
0.127,2141.96,890.0,200,25
0.126,2116.22,890.0,200,25
0.125,2088.69,890.0,200,25
0.125,2065.88,890.0,200,25
0.125,2063.51,890.0,200,25
0.126,2082.52,890.0,200,25
0.126,2115.88,890.0,200,25
0.126,2150.31,890.0,200,25
0.125,2170.76,890.0,200,25
0.123,2174.7,890.0,200,25
0.121,2162.55,890.0,200,25
